candidate_index,attempt_number,event_id,cycle_id,token,asset_key,quoted_profit_usd,starting_amount_usd,priority_fee_usd,total_network_fee_usd,slippage_bps,adverse_move_bps,execution_penalty_usd,missed,confirmed,realized_profit_usd
1,1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0026999340223862168,0.0031999340223862168,13.041129650461961,2.793837439738472,0.0015834967090200432,False,True,0.021135569268593765
1,2,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.001358288625452141,0.001858288625452141,7.9605132671343775,0.6282242493124568,0.0008588737516446832,False,True,0.0232018376229032
1,3,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0009032214935656909,0.001403221493565691,6.76257350355118,2.0021113380749234,0.0008764684841626101,False,True,0.023639310022271723
1,4,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.004616784365026514,0.0051167843650265134,8.615892170599034,4.280859253739643,0.0012896751424338675,False,True,0.019512540492539643
1,5,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0002834686815393072,0.0007834686815393073,0.26314315449429804,2.794148102123514,0.00030572912566178114,False,True,0.024829802192798938
1,6,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.001059844748863267,0.001559844748863267,13.359912869581818,2.91087058223407,0.0016270783451815885,False,True,0.02273207690595517
1,7,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.004455021611202675,0.004955021611202676,5.217864334604637,2.664951599219645,0.0007882815933824281,False,True,0.02017569679541492
1,8,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.003555932842776884,0.004055932842776884,5.2631574151732945,0.9410386923474223,0.0006204196107520716,False,True,0.02124264754647107
1,9,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.002171484693491063,0.002671484693491063,3.349993208196458,2.3869277822316306,0.0005736920990428088,False,True,0.02267382320746615
1,10,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0018189623422031737,0.0023189623422031737,9.904335516464156,4.549606364666088,0.0014453941881130243,False,True,0.022154643469683828
1,11,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.003326069137758665,0.003826069137758665,5.410300459928298,4.503861530671649,0.0009914161990599946,False,True,0.021101514663181366
1,12,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0012518661955003688,0.0017518661955003689,6.135174243162321,5.340528961245443,0.0011475703204407762,False,True,0.02301956348405888
1,13,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0002914488236761397,0.0007914488236761397,11.365473539863956,8.533914736104713,0.0019899388275968666,False,True,0.023137612348727018
1,14,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.003776286763573283,0.004276286763573283,8.506621953061678,7.506048870881665,0.0016012670823943342,False,True,0.020041446154032406
1,15,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0006898984418340201,0.00118989844183402,11.942702003848986,0.7213024975430116,0.0012664004501391996,False,True,0.023462701108026805
1,16,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.00043602265036289743,0.0009360226503628974,8.499193055155724,2.122324110577857,0.0010621517165733578,True,False,0.0
1,17,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0003284661177683187,0.0008284661177683187,2.2868954086653797,0.0885856111781902,0.00023754810198435696,False,True,0.02485298578024735
1,18,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0030948668645901472,0.0035948668645901473,12.06814023746172,3.1920004400495383,0.0015260140677511255,False,False,0.0
1,19,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0036026854108099455,0.004102685410809945,4.4783804031299255,7.50928031487825,0.0011987660718008174,False,True,0.020617548517389263
1,20,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0037937965585608763,0.004293796558560876,8.777172934049975,9.696176905087798,0.0018473349839137772,False,True,0.019777868457525372
1,21,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.002608560946709859,0.003108560946709859,4.1335383279716655,4.756699840288262,0.0008890238168259925,True,False,0.0
1,22,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.004828117166499222,0.005328117166499223,1.6679996749716834,5.037885593377698,0.0006705885268349382,False,True,0.019920294306665864
1,23,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.004252737768545532,0.004752737768545533,7.914181574407944,8.115088118948368,0.0016029269693356308,False,True,0.019563335262118862
1,24,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.002290093300105942,0.002790093300105942,1.324619136366606,4.336728248473467,0.0005661347384840072,False,True,0.02256277196141008
1,25,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.002248758006716567,0.002748758006716567,4.99365089140795,7.3678274823325225,0.001236147837374047,True,False,0.0
1,26,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.00035088813804289444,0.0008508881380428944,10.84492877439262,1.7693595400520234,0.0012614288314444643,False,True,0.023806683030512667
1,27,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0013280642288967326,0.0018280642288967326,3.751915772360715,3.4731263593209762,0.0007225042131681691,False,True,0.023368431557935124
1,28,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.004827694477112233,0.0053276944771122325,10.495962703280787,3.8942849125011545,0.001439024761578194,False,True,0.0191522807613096
1,29,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.0006405821400320808,0.0011405821400320808,0.24159227660109528,2.7334937968532493,0.0002975086073454344,False,True,0.024480909252622512
1,30,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,SYMBOL:BOLT,0.025919000000000025,0.9999999999999999,0.002685891913732947,0.003185891913732947,10.953934021865297,8.146753876407027,0.0019100687898272323,False,True,0.020823039296439846
