trade_index,fold_id,event_id,cycle_id,cycle_number,timestamp,token,asset_key,source_type,validation_status,rule,net_profit_usd,net_edge_bps,total_cost_bps,quote_latency_ms,profitable,historical_confirmed_attempts,historical_profitable_confirmation_rate,historical_median_fee_share,historical_median_penalty_share,execution_aware_minimum_profit_usd,execution_aware_minimum_edge_bps,accepted,rejection_reasons
2,3,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,10,2026-07-31T03:54:44.000+00:00,MET,METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,HISTORICAL,HISTORICAL_UNVALIDATED,BASE_FILTER_ONLY,0.00012600000000007223,1.2600000000007223,20.0,0.0,True,91,0.0,27.8944530854526,9.062676279278932,0.0075,5.0,False,QUOTED_PROFIT_BELOW_EXECUTION_AWARE_THRESHOLD;NET_EDGE_BPS_BELOW_MINIMUM;HISTORICAL_PROFITABLE_RATE_TOO_LOW;HISTORICAL_FEE_SHARE_TOO_HIGH;HISTORICAL_EXECUTION_PENALTY_TOO_HIGH
3,3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,11,2026-07-31T04:08:59.000+00:00,BIRB,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,HISTORICAL,HISTORICAL_UNVALIDATED,BASE_FILTER_ONLY,0.00113399999999997,11.339999999999701,20.0,0.0,True,93,0.0,2.783171008360481,1.1401814712847265,0.0075,5.0,False,QUOTED_PROFIT_BELOW_EXECUTION_AWARE_THRESHOLD;HISTORICAL_PROFITABLE_RATE_TOO_LOW;HISTORICAL_FEE_SHARE_TOO_HIGH;HISTORICAL_EXECUTION_PENALTY_TOO_HIGH
4,5,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,21,2026-08-01T02:14:21.072+00:00,Bonk,mint:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,VERIFIED_LIVE,VERIFIED_WITH_WARNING,BASE_FILTER_ONLY,0.006679000000000103,66.79000000000103,20.0,120.339197004796,True,91,0.978021978021978,0.5018604162344247,0.1755014232565188,0.0075,5.0,False,QUOTED_PROFIT_BELOW_EXECUTION_AWARE_THRESHOLD
5,5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,21,2026-08-01T02:14:48.139+00:00,Fartcoin,mint:9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,VERIFIED_LIVE,VERIFIED_WITH_WARNING,BASE_FILTER_ONLY,0.001881999999999941,18.81999999999941,20.0,110.96785900008399,True,92,0.07608695652173914,1.5381975748772945,0.6513137963749891,0.0075,5.0,False,QUOTED_PROFIT_BELOW_EXECUTION_AWARE_THRESHOLD;HISTORICAL_PROFITABLE_RATE_TOO_LOW;HISTORICAL_FEE_SHARE_TOO_HIGH
