trade_index,event_id,cycle_id,token,profit_usd,capital_usd,drawdown_percent
1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.025919000000000025,1000.025919,0.0
2,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,MET,0.00012600000000007223,1000.0260450000001,0.0
3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,BIRB,0.00113399999999997,1000.027179,0.0
4,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,Bonk,0.006679000000000103,1000.033858,0.0
5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,Fartcoin,0.001881999999999941,1000.03574,0.0
