fold_id,event_id,cycle_id,cycle_number,timestamp,token,asset_key,source_type,validation_status,rule,net_profit_usd,net_edge_bps,total_cost_bps,quote_latency_ms,profitable
1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,6,2026-07-30T21:42:18.000+00:00,BOLT,SYMBOL:BOLT,HISTORICAL,HISTORICAL_UNVALIDATED,BASE_FILTER_ONLY,0.025919000000000025,259.1900000000003,20.0,0.0,True
3,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,10,2026-07-31T03:54:44.000+00:00,MET,METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,HISTORICAL,HISTORICAL_UNVALIDATED,BASE_FILTER_ONLY,0.00012600000000007223,1.2600000000007223,20.0,0.0,True
3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,11,2026-07-31T04:08:59.000+00:00,BIRB,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,HISTORICAL,HISTORICAL_UNVALIDATED,BASE_FILTER_ONLY,0.00113399999999997,11.339999999999701,20.0,0.0,True
5,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,21,2026-08-01T02:14:21.072+00:00,Bonk,mint:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,VERIFIED_LIVE,VERIFIED_WITH_WARNING,BASE_FILTER_ONLY,0.006679000000000103,66.79000000000103,20.0,120.339197004796,True
5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,21,2026-08-01T02:14:48.139+00:00,Fartcoin,mint:9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,VERIFIED_LIVE,VERIFIED_WITH_WARNING,BASE_FILTER_ONLY,0.001881999999999941,18.81999999999941,20.0,110.96785900008399,True
