run_id,execution_index,attempt_id,event_id,cycle_id,token,profit_usd,capital_usd,peak_capital_usd,drawdown_percent
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,19,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:20,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.019880062512380232,1000.4162598244926,1000.4162598244926,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,20,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:21,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.01878196169207281,1000.4350417861847,1000.4350417861847,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,21,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:22,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.020078609644869162,1000.4551203958296,1000.4551203958296,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,22,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:23,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.02278457648964183,1000.4779049723193,1000.4779049723193,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,23,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:24,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.022306457245762103,1000.5002114295651,1000.5002114295651,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,24,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:25,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.021610474722032785,1000.5218219042871,1000.5218219042871,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,25,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:26,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.021810431844283724,1000.5436323361314,1000.5436323361314,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,26,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:27,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.02361926274352964,1000.5672515988749,1000.5672515988749,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,27,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:28,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.02020858913500865,1000.5874601880099,1000.5874601880099,0.0
e1bcfb7b-6cf2-4a73-8aae-6a4786a94534,28,e1bcfb7b-6cf2-4a73-8aae-6a4786a94534:1:29,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.019889314854693856,1000.6073495028646,1000.6073495028646,0.0
