feature,direction,threshold,selected_events,selected_positive,selected_negative,win_rate_pct,average_profit_usd,total_profit_usd,median_profit_usd,best_profit_usd,worst_profit_usd,precision,recall,false_positive_rate,training_cycle_start,training_cycle_end
liquidity_score,HIGHER,77.38473684210527,528,0,528,0.0,-0.0029159791666666652,-1.5396369999999993,-0.0021749999999999808,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5892857142857143,1,9
maximum_component_score,HIGHER,84.24,530,0,530,0.0,-0.0029758452830188687,-1.5771980000000003,-0.0021729999999999788,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5915178571428571,1,9
pair_score,HIGHER,72.69684210526317,477,0,477,0.0,-0.003365591194968553,-1.6053869999999997,-0.0023649999999999487,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5323660714285714,1,9
volume_score,HIGHER,76.84684210526316,525,0,525,0.0,-0.003137841904761906,-1.6473670000000007,-0.0021929999999999988,-0.0004340000000000437,-0.021662999999999988,0.0,0.0,0.5859375,1,9
composite_market_score,HIGHER,67.66928947368422,571,0,571,0.0,-0.0029132154115586685,-1.6634459999999998,-0.00219199999999997,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.6372767857142857,1,9
pair_score,HIGHER,68.78,496,0,496,0.0,-0.0033987419354838708,-1.685776,-0.002368499999999994,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5535714285714286,1,9
liquidity_score,HIGHER,73.86526315789472,577,0,577,0.0,-0.00298030329289428,-1.7196349999999996,-0.0022020000000000355,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.6439732142857143,1,9
market_score,HIGHER,73.41105263157895,591,0,591,0.0,-0.0029950862944162437,-1.770096,-0.0022020000000000355,-0.0004340000000000437,-0.011977000000000014,0.0,0.0,0.6595982142857143,1,9
volume_score,HIGHER,72.59157894736842,571,0,571,0.0,-0.003176493870402803,-1.8137780000000006,-0.0022020000000000355,-0.0004340000000000437,-0.02176699999999998,0.0,0.0,0.6372767857142857,1,9
composite_market_score,HIGHER,63.17002631578947,617,0,617,0.0,-0.0030431734197730958,-1.8776380000000001,-0.0022290000000000348,-0.0004340000000000437,-0.011977000000000014,0.0,0.0,0.6886160714285714,1,9
pair_score,HIGHER,65.73105263157895,527,0,527,0.0,-0.003577455407969639,-1.885319,-0.0024370000000000207,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5881696428571429,1,9
liquidity_score,HIGHER,68.33842105263156,620,0,620,0.0,-0.0031321564516129025,-1.9419369999999996,-0.0022375000000000016,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.6919642857142857,1,9
market_score,HIGHER,67.8,637,0,637,0.0,-0.0030772794348508633,-1.960227,-0.0022459999999999685,-0.0004340000000000437,-0.011977000000000014,0.0,0.0,0.7109375,1,9
volume_score,HIGHER,68.0421052631579,614,0,614,0.0,-0.003298467426710098,-2.025259,-0.002230000000000008,-0.0004340000000000437,-0.023998999999999993,0.0,0.0,0.6852678571428571,1,9
maximum_component_score,HIGHER,82.32,634,0,634,0.0,-0.0032135662460567823,-2.037401,-0.0022389999999999893,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7075892857142857,1,9
pair_score,HIGHER,61.517894736842095,550,0,550,0.0,-0.003723445454545454,-2.0478949999999996,-0.002446499999999961,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.6138392857142857,1,9
liquidity_score,HIGHER,62.40210526315789,663,0,663,0.0,-0.0032449728506787324,-2.1514169999999995,-0.0022830000000000333,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7399553571428571,1,9
composite_market_score,HIGHER,52.72765789473685,664,0,664,0.0,-0.003266560240963855,-2.168996,-0.002287999999999955,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7410714285714286,1,9
score_dispersion,LOWER,13.085291762023255,233,1,232,0.4291845493562232,-0.009357309012875537,-2.180253,-0.005878000000000048,0.025919000000000025,-0.18618199999999996,0.004291845493562232,1.0,0.25892857142857145,1,9
maximum_component_score,HIGHER,78.66,673,0,673,0.0,-0.0033565408618127786,-2.258952,-0.0022940000000000165,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7511160714285714,1,9
volume_score,HIGHER,60.169999999999995,660,0,660,0.0,-0.003449369696969697,-2.276584,-0.0022940000000000165,-0.0004340000000000437,-0.023998999999999993,0.0,0.0,0.7366071428571429,1,9
pair_score,HIGHER,57.08736842105263,578,0,578,0.0,-0.003946186851211072,-2.280896,-0.0024330000000000167,-0.0004340000000000437,-0.103881,0.0,0.0,0.6450892857142857,1,9
market_score,HIGHER,55.10157894736842,680,0,680,0.0,-0.0033561499999999996,-2.2821819999999997,-0.0023009999999999958,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7589285714285714,1,9
pair_score,HIGHER,51.62842105263158,600,0,600,0.0,-0.003967981666666666,-2.3807889999999996,-0.0024469999999999752,-0.0004340000000000437,-0.103881,0.0,0.0,0.6696428571428571,1,9
liquidity_score,HIGHER,46.93631578947368,704,0,704,0.0,-0.003451113636363636,-2.4295839999999997,-0.002317999999999985,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7857142857142857,1,9
maximum_component_score,HIGHER,69.39,703,0,703,0.0,-0.003591335704125177,-2.5247089999999996,-0.0023210000000000158,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7845982142857143,1,9
composite_market_score,HIGHER,45.00573052631579,710,0,710,0.0,-0.003572299999999999,-2.5363329999999995,-0.0023369999999999762,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.7924107142857143,1,9
